fuel,fuel_category,sulfur,engine_size,emission_tier,model_years,nox,bsfc,EF_MainEngine,EF_AuxiliaryEngine,EF_AuxiliaryBoiler
HFO,1,2.70%,< 800 kW,0,Pre-2000,14.7,230,731.2364699999999,731.2364699999999,731.2364699999999
HFO,1,2.70%,< 800 kW,1,2000-2010,13.0,230,731.2364699999999,731.2364699999999,731.2364699999999
HFO,1,2.70%,< 800 kW,2,post 2010,11.2,230,731.2364699999999,731.2364699999999,731.2364699999999
HFO,1,2.70%,> 800 kW,0,Pre-2000,14.7,240,763.0293599999999,763.0293599999999,763.0293599999999
HFO,1,2.70%,> 800 kW,1,2000-2010,13.0,240,763.0293599999999,763.0293599999999,763.0293599999999
HFO,1,2.70%,> 800 kW,2,post 2010,11.2,240,763.0293599999999,763.0293599999999,763.0293599999999
Global 2020,2,0.50%,< 800 kW,0,Pre-2000,13.8,219,696.264291,696.264291,696.264291
Global 2020,2,0.50%,< 800 kW,1,2000-2010,12.2,219,696.264291,696.264291,696.264291
Global 2020,2,0.50%,< 800 kW,2,post 2010,10.5,219,696.264291,696.264291,696.264291
Global 2020,2,0.50%,> 800 kW,0,Pre-2000,13.8,228,724.877892,724.877892,724.877892
